Unnamed: 0,Programma,Data,Tipologia,parakeet,whisper_large,whisperx,assemblyai,whisperx_reviewer
0,MEZZORAINPIU,10_10_21,TalkShow,0.34,0.287,0.315,0.316,0.307
1,MEZZORAINPIU,14_03_21,TalkShow,0.264,0.199,0.175,0.181,0.169
2,MEZZORAINPIU,23_05_21,TalkShow,0.094,0.127,0.085,0.089,0.08
3,MEZZORAINPIU,24_10_21,TalkShow,0.203,0.154,0.172,0.176,0.166
4,MEZZORAINPIU,27_03_22,TalkShow,0.278,0.271,0.273,0.275,0.273
5,PORTAPORTA,09_06_21,TalkShow,0.393,0.433,0.372,0.37,0.359
6,PORTAPORTA,15_06_22,TalkShow,0.289,0.302,0.275,0.273,0.267
7,PORTAPORTA,22_06_22,TalkShow,0.306,0.288,0.28,0.28,0.271
8,PORTAPORTA,23_06_22,TalkShow,0.286,0.266,0.272,0.271,0.263
9,PORTAPORTA,28_06_22,TalkShow,0.351,0.331,0.329,0.327,0.329
10,PRESADIRETTA,07_02_22,Inchiesta,0.346,0.363,0.338,0.341,0.338
11,PRESADIRETTA,13_03_23,Inchiesta,0.365,0.36,0.351,0.352,0.345
12,PRESADIRETTA,14_02_22,Inchiesta,0.249,0.244,0.241,0.24,0.233
13,PRESADIRETTA,14_03_22,Inchiesta,0.329,0.298,0.308,0.31,0.308
14,PRESADIRETTA,15_03_21,Inchiesta,0.28,0.295,0.264,0.266,0.245
15,REPORT,10_05_21,Inchiesta,0.503,0.488,0.484,0.476,0.472
16,REPORT,11_04_22,Inchiesta,0.134,0.13,0.124,0.126,0.115
17,REPORT,12_04_21,Inchiesta,0.396,0.395,0.386,0.391,0.371
18,REPORT,13_06_22,Inchiesta,0.203,0.2,0.187,0.191,0.187
19,REPORT,20_12_21,Inchiesta,0.386,0.381,0.375,0.374,0.375
20,ULISSE,03_06_21,Divulgazione,0.202,0.203,0.186,0.187,0.186
21,ULISSE,09_04_22,Divulgazione,0.166,0.154,0.148,0.15,0.148
22,ULISSE,16_04_22,Divulgazione,0.09,0.087,0.078,0.079,0.07
23,ULISSE,25_01_22,Divulgazione,0.203,0.192,0.182,0.18,0.175
24,ULISSE,27_05_21,Divulgazione,0.198,0.197,0.182,0.183,0.174
25,ULISSE,28_04_21,Divulgazione,0.126,0.129,0.112,0.113,0.105
26,ULISSE,05_05_21,Divulgazione,0.199,0.197,0.187,0.187,0.187
27,ULISSE,21_04_21,Divulgazione,0.156,0.152,0.146,0.147,0.138
28,ULISSE,30_04_22,Divulgazione,0.128,0.12,0.108,0.108,0.096
29,ULISSE,23_04_22,Divulgazione,0.055,0.057,0.047,0.046,0.047
